159,0,0,0,4,0,1,0,0,2,0,12,3,2,0
0,183,7,1,0,0,0,1,0,0,2,0,0,0,0
0,13,142,37,0,0,4,4,0,0,2,0,0,1,0
0,1,27,153,0,5,2,1,1,0,2,1,5,0,0
9,0,0,1,163,0,3,2,0,6,1,0,4,4,6
0,0,2,11,2,150,1,1,2,10,0,6,1,7,0
1,0,0,10,5,2,121,8,5,14,0,1,5,9,8
1,0,0,2,9,5,8,144,3,12,8,4,2,6,7
0,1,5,0,1,1,4,3,182,2,2,0,2,2,3
1,1,0,3,3,8,5,9,2,112,1,6,1,12,16
1,2,0,0,1,0,0,0,0,1,175,0,20,2,0
16,0,0,0,12,7,2,1,1,3,2,129,1,16,2
2,1,2,2,1,3,8,4,2,0,26,4,149,3,0
2,0,0,0,8,10,6,3,3,9,3,23,6,115,1
2,0,0,0,14,3,5,3,5,22,0,4,1,3,150
